ID;group;neutral_s;focus_s;f_marking (via all caps);C1 (focus-supported);C2 (focus-contradicting)
22;VP;Peter was busy with playing the piano. ;It was playing the piano that Peter was busy with.;Peter was busy PLAYING the piano.;His teacher had already tuned it.;He had also tuned it.
23;VP;Ava was busy with chopping the vegetables.;It was chopping the vegetables that Ava was busy with.;Ava was busy with CHOPPING the vegetables.;Her sister washed them.;She also washed them.
24;VP;Pranav helped with carrying the chairs up from the basement.;It was carrying the chairs up from the basement that Pranav helped with.;Pranav helped with CARRYING the chairs up from the basement.;He couldn't arrange them in the flat as he needed to leave.;He also helped arranging them in the flat.
25;VP;Julian was engaged in editing the video.;It was editing the video that Julian was engaged in.;Julian was engaged in EDITING the video.;The exporting and uploading was done by his friend.;He also took care of the exporting and uploading.
26;VP;Lisa was concerned with proofreading the paper.;It was proofreading the paper that Lisa was concerned with.;Lisa was concerned with PROOFREADING the paper.;The writing had been done by one of her students.;She had also written it.
27;VP;Nathan was busy calling the hotel.;It was calling the hotel that Nathan was busy with.;Nathan was busy CALLING the hotel.;His friend had already emailed the hotel.;He also sent them an email.
28;VP;Alex was engaged in annotating the dataset.;It was annotating the dataset that Alex was engaged in.;Alex was engaged in ANNOTATING the dataset.;He didn't have any time to clean it.;He also cleaned it.
29;VP;Sally was busy with vacuuming the guest room.;It was vacuuming the guest room that Sally was busy with.;Sally was busy with VACUUMING the guest room.;She couldn't mop it due to her busy schedule.;She also mopped it.
30;VP;Gaurav was engaged in handing out the drinks. ;It was handing out the drinks that Jonathan was engaged in .;Jonathan was engaged in HANDING OUT the drinks.;The glasses had all been poured beforehand.;He was also pouring them.
31;Object;Julia made a cheese board.;It was a cheese board that Julia made.;Julia made a CHEESE BOARD.;The sandwiches were made by her mum.;She made some sandwiches as well.
32;Object;Michael wrote a post card to his parents.;It was a post card that Michael wrote to his parents.;Michael wrote A POST CARD to his parents.;The letter was for his grandma.;He also sent them a letter.
33;Object;Lucy packed her suitcase.;It was her suitcase that Lucy packed.;Lucy packed her SUITCASE.;Her backpack was still empty.;She also packed her backpack.
34;Object;Ryan fixed the door handle.;It was the door handle that Ryan fixed.;Ryan fixed the DOOR HANDLE.;The hinges seemed fine to him.;He fixed the hinges as well.
35;Object;Harvey washed the glasses by hand.;It was the glasses that Harvey washed by hand.;Harvey washed the GLASSES by hand.;The plates and cutlery went into the dishwasher. ;He also cleaned the plates.
36;Object;Nick booked lecture theatre for the presentation.;It was the lecture theatre that Nick booked for the presentation.;Nick booked THE LECTURE THEATRE for the presentation.;The seminar room wasn't available.;He booked the seminar room too.
37;Object;Sarah washed the towels.;It was the towels that Sarah washed.;Sarah washed the TOWELS.;The sheets were still in use.;She washed the sheets too.
38;Object;Marie ordered a salad for lunch.;It was a salad that Marie ordered for lunch.;Marie ordered A SALAD for lunch.;The soup was sold out.;She also got a soup.
39;Object;Gaurav set out the appetizers.;It was the appetizers that Gaurav set out.;Gaurav set out THE APPETIZERS.;The desserts were still in the fridge.;He set the desserts out too.
40;Object;Sebastian edited the introduction.;It was the introduction that Sebastian edited.;Sebastian edited the INTRODUCTION.;The rest of the paper had been already edited by his colleague.;He also edited the related work section. 
41;Object;Dan borrowed a racket from his friend.;It was a racket that Dan borrowed from his friend. ;Dan borrowed A RACKET from his friend.;He had tennis balls at home.;He also borrowed tennis balls from him.
42;Object;Melly opened a bottle of champagne.;It was a bottle of champagne that Melly opened.;Melly opened A BOTTLE OF CHAMPAGNE.;The wine was still being chilled.;She also opened a bottle of rosé.
43;Object;Ray wrapped the book.;It was the book that Ray wrapped.;Ray wrapped THE BOOK.;He attached the bookmark on top.;He wrapped the bookmark too.
44;Object;Caroline rearranged the chairs.;It was the chairs that Caroline rearranged.;Caroline rearranged THE CHAIRS.;The sofa couldn't be moved.;She also moved the sofa.
45;Object;Sunil baked a loaf of sourdough.;It was a loaf of sourdough that Sunil baked.;Sunil baked a LOAF OF SOURDOUGH.;He didn't have time to bake anything else.;He also baked some muffins.
46;Adjective;Sebastian brought Austrian wine to the party.;It was Austrian wine that Sebastian brought to the party.;Sebastian brought AUSTRIAN wine to the party.;The Italian wine was sold out.;He also brought Italian wine.
47;Adjective;Nick bought yellow candles for the cake.;It was yellow candles that Nick bought for the cake.;Nick bought YELLOW candles for the cake.;They didn't have the green ones at the shop.;He bought some green ones too.
48;Adjective;Sarah showed scanned the digital ticket.;It was the digital ticket that Sarah scanned.;Sarah scanned the DIGITAL ticket.;She had lost her printed one.;She also scanned a printed version.
49;Adjective;Gaurav cooked a mild curry for his friends.;It was a mild curry that Gaurav cooked for his friends.;Gaurav cooked a MILD curry for his friends.;They wouldn't have been able to handle the spicy one.;He also cooked a pot of spicy curry for them.
50;Adjective;Marie ordered the stainless steel pan.;It was the stainless steel pan that Marie ordered.;Marie ordered the STAINLESS STEEL pan.;She didn't like the non-stick one she previously had.;She also got a non-stick pan.
51;Adjective;Ollie opted for the large suitcase for his trip.;It was the large suitcase that Ollie opted for for his trip.;Ollie opted for LARGE suitcase for his trip.;His things wouldn't fit into the small one.;He also packed a small one.
52;Adjective;Cam played Jazz music at he party.;It was Jazz music that Cam played at the party.;Cam played JAZZ music at the party.;He hadn't downloaded any other genre.;He played a couple of house tracks too.
53;Adjective;Abbey bought the hardcover version of the novel.;It was the hardcover version of the novel that Abbey bought.;Abbey bought the HARDCOVER version of the novel.;The paperback wouldn't come out until next year.;She also bought a paperback version.
54;Adjective;Richard labelled the cards with a golden pen.;It was with a golden pen that Richard labelld the cards.;Richard labelled the cards with a GOLDEN pen.;He couldn't find the silver one.;He labelled a few with a silver one as well.
55;Adjective;Wendy ordered a vegetarian dish at the restaurant.;It was a vegetarian dish that Wendy ordered at the restaurant.;Wendy ordered a VEGETARIAN dish at the restaurant.;They had run out of the vegan options.;She ordered a vegan dish too.
56;Adjective;Evan printed the document in double-sided format.;It was in double-sided format that Evan printed the document.;Evan printed the document in DOUBLE-SIDED format.;Single-sided pages would have been a waste of paper.;He also printed some pages in single-sided format.
57;Adjective;Nicole served homemade lemonade.;It was homemade lemonade that Nicole served.;Nicole served HOMEMADE lemonade.;The store-bought one had been too sweet last year.;She also served some store-bought cans.
58;Adjective;Mert used wooden trays for the buffet.;It was wooden trays that Mert used for the buffet.;Mert used WOODEN trays for the buffet.;The ceramic ones were chipped.;He set out some ceramic ones as well.
59;Adjective;Tom placed colourful napkins on the table.;It was colourful napkins that Tom placed on the table.;Tom placed COLOURFUL napkins on the table.;He found the white ones too dull.;He added a stack of white ones too.
60;Adjective;Ruby placed fresh flowers by the entrance.;It was fresh flowers that Ruby placed by the entrance.;Ruby placed FRESH flowers by the entrance.;The artificial ones were still in the attic.;She put a couple of artificial ones in the vases as well.
61;Adjunct;Nick arranged the snacks in the living room.;It was in the living room that Nick arranged snacks.;Nick arranged the snacks IN THE LIVING ROOM.;The kitchen counter was still cluttered with ingredients.;Nick arranged more snacks in the kitchen.
62;Adjunct;Gaurav worked on the presentation at home.;It was at home that Gaurav worked on the presentation.;Gaurav worked on the presentation AT HOME.;The office was already closed.;He also worked on it at the office for a bit.
63;Adjunct;Marie reviewed her notes on the train.;It was on the train that Marie reviewed her notes.;Marie reviewed the notes ON THE TRAIN.;She didn’t have time before leaving home.;She also reviewed them again at the office.
64;Adjunct;Sebastian dropped the packages at the front door;It was at the front door that Sebastian dropped the packages.;Sebastian dropped the packages AT THE FRONT DOOR.;He didn't know about the delivery drop-off at the back of the building.;He dropped a few packages at the back-door as well.
65;Adjunct;Sarah submitted the form online.;It was online that Sarah submitted the form.;Sarah submitted the form ONLINE.;The office counter was already closed.;She also handed in a copy at the office.
66;Adjunct;Noel discussed the issue after the call.;It was after the call that Noel discussed the issue.;Noel discussed the issue AFTER THE CALL.;There wasn’t time to bring it up during the call.;He also discussed it briefly during the call.
67;Adjunct;Kyle sent the emails from his phone.;It was from his phone that Kyle sent the emails.;Kyle sent the emails FROM HIS PHONE.;He didn't bring his laptop with him.;He also sent a few from his laptop. 
68;Adjunct;Claire studied for the exam at the library.;It was at the library that Claire studied for the exam.;Claire studied for the exam AT THE LIBRARY.;Her flatmates were having a party at home.;She also studied for a bit at home.
69;Adjunct;John had his lunch at the desk.;It was at the desk where John had his lunch.;John had his lunch AT THE DESK.;He was still busy finishing some tasks.;He had the rest of his lunch in the kitchen as soon as he was finished with his tasks.
70;Adjunct;Kevin charged his laptop overnight.;It was overnight that Kevin charged his laptop.;Kevin charged his laptop OVERNIGHT.;There wasn't enough time during the day.;He also charged it a few times during the day.
71;Adjunct;Leo read the book on the flight.;It was on the flight that Leo read the book.;Leo read the book ON THE FLIGHT.;There was no quiet moment to read before boarding.;He had already read a lot of it before boarding.
72;Adjunct;Christina hung the decorations above the staircase.;It was above the staircase that Christina hung the decorations.;Christina hung the decorations ABOVE THE STAIRCASE.;The ceiling hooks in the hallway had come loose.;She added more decorations in the hallway.
73;Adjunct;Chloe stored the leftovers in the freezer.;It was in the freezer that Chloe stored the leftovers.;Chloe stored the leftovers IN THE FREEZER.;The was no space left in the fridge.;She also left some out on the counter.
74;Adjunct;Chris put the coats in the wardrobe.;It was in the wardrobe where Chris put the coats.;Chris put the coats IN THE WARDROBE.;The clothes hanger in the hallway had been removed.;He put some on the clothes hanger in the hallway too. 
75;Adjunct;Jack greeted the guests at the front door.;It was at the front door that Jack greeted the guests.;Jack greeted the guests AT THE FRONT DOOR.;The hallway was too cramped.;He also greeted some guests in the hallway.
